target_name,target_difficulty,target_category,strategy_name,trial_number,total_inputs,valid_inputs,crash_error_inputs,unique_inputs,duplicate_inputs,average_execution_time,coverage_percent,covered_line_count,source_line_count,unique_error_type_count,error_types,result_file
arithmetic_script_parser,hard,grammar_parser,basic_character_random,1,100,0,100,100,0,3.403900012926897e-05,18.64406779661017,11,59,1,"{""ValueError"": 100}",results\week8\random_baseline\arithmetic_script_parser\basic_character_random_trial1.jsonl
arithmetic_script_parser,hard,grammar_parser,basic_character_random,2,100,0,100,97,3,3.309399988211226e-05,18.64406779661017,11,59,1,"{""ValueError"": 100}",results\week8\random_baseline\arithmetic_script_parser\basic_character_random_trial2.jsonl
arithmetic_script_parser,hard,grammar_parser,basic_character_random,3,100,0,100,98,2,3.7241000009089475e-05,18.64406779661017,11,59,2,"{""ValueError"": 99, ""SafetyError"": 1}",results\week8\random_baseline\arithmetic_script_parser\basic_character_random_trial3.jsonl
arithmetic_script_parser,hard,grammar_parser,coverage_guided_random,1,100,1,99,98,2,3.709399987201323e-05,77.96610169491525,46,59,4,"{""ValueError"": 96, ""SyntaxError"": 1, ""SafetyError"": 1, ""KeyError"": 1}",results\week8\random_baseline\arithmetic_script_parser\coverage_guided_random_trial1.jsonl
arithmetic_script_parser,hard,grammar_parser,coverage_guided_random,2,100,1,99,97,3,6.432599999243393e-05,77.96610169491525,46,59,4,"{""ValueError"": 95, ""SyntaxError"": 2, ""SafetyError"": 1, ""KeyError"": 1}",results\week8\random_baseline\arithmetic_script_parser\coverage_guided_random_trial2.jsonl
arithmetic_script_parser,hard,grammar_parser,coverage_guided_random,3,100,1,99,98,2,3.347099996972247e-05,77.96610169491525,46,59,4,"{""ValueError"": 95, ""SafetyError"": 1, ""SyntaxError"": 2, ""KeyError"": 1}",results\week8\random_baseline\arithmetic_script_parser\coverage_guided_random_trial3.jsonl
arithmetic_script_parser,hard,grammar_parser,edge_case_seed_random,1,100,1,99,79,21,3.670400015835185e-05,64.40677966101694,38,59,4,"{""ValueError"": 91, ""KeyError"": 3, ""SafetyError"": 1, ""SyntaxError"": 4}",results\week8\random_baseline\arithmetic_script_parser\edge_case_seed_random_trial1.jsonl
arithmetic_script_parser,hard,grammar_parser,edge_case_seed_random,2,100,1,99,80,20,3.7692999976570716e-05,71.1864406779661,42,59,3,"{""ValueError"": 91, ""SyntaxError"": 5, ""KeyError"": 3}",results\week8\random_baseline\arithmetic_script_parser\edge_case_seed_random_trial2.jsonl
arithmetic_script_parser,hard,grammar_parser,edge_case_seed_random,3,100,2,98,86,14,3.4840000025724294e-05,72.88135593220339,43,59,4,"{""ValueError"": 90, ""SyntaxError"": 5, ""SafetyError"": 2, ""KeyError"": 1}",results\week8\random_baseline\arithmetic_script_parser\edge_case_seed_random_trial3.jsonl
arithmetic_script_parser,hard,grammar_parser,mutation_based_random,1,100,5,95,98,2,4.457699989870889e-05,74.57627118644068,44,59,3,"{""ValueError"": 83, ""SyntaxError"": 10, ""KeyError"": 2}",results\week8\random_baseline\arithmetic_script_parser\mutation_based_random_trial1.jsonl
